ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	39	1	09:54:09	4	0	366	16	1	22
5_1	39	1	09:54:09	2	0	1302	11	8	23
5_1	39	1	09:54:09	6	6	3446	5	5	24
5_1	39	1	09:54:09	2	0	506	15	17	25
5_1	39	1	09:54:09	2	0	2867	18	4	26
5_1	39	1	09:54:09	1	2	3601	4	11	27
5_1	39	1	09:54:09	0	0	3378	7	17	28
5_1	39	1	09:54:09	1	0	2367	9	10	29
5_1	39	1	09:54:09	0	0	2466	18	8	30
5_1	39	1	09:54:09	2	5	4592	16	13	31
5_1	39	1	09:54:09	3	0	528	8	10	32
5_1	39	1	09:54:09	3	0	775	1	13	33
5_1	39	1	09:54:09	1	0	130	2	16	34
5_1	39	1	09:54:09	2	2	2937	3	10	35
5_1	39	1	09:54:09	3	1	1360	12	15	36
5_1	39	1	09:54:09	1	0	2214	9	15	37
5_1	39	1	09:54:09	0	0	1711	13	7	38
5_1	39	1	09:54:09	2	5	1477	6	3	39
5_1	39	1	09:54:09	1	0	2531	7	1	40
5_1	39	1	09:54:09	0	0	741	5	2	41
5_1	39	1	09:54:09	2	2	878	12	11	42
5_1	39	1	09:54:09	6	6	919	7	7	43
5_1	39	1	09:54:09	1	2	1284	1	18	44
5_1	39	1	09:54:09	6	2	339	18	18	45
5_1	39	1	09:54:09	1	1	1159	5	17	46
5_1	39	1	09:54:09	6	1	3339	4	4	47
5_1	39	1	09:54:09	2	1	432	10	6	48
5_1	39	1	09:54:09	2	2	497	13	2	49
5_1	39	1	09:54:09	6	2	118	6	6	50
5_1	39	1	09:54:09	3	1	807	2	18	51
5_1	39	1	09:54:09	1	2	1861	4	1	52
5_1	39	1	09:54:09	3	1	166	17	6	53
5_1	39	1	09:54:09	6	6	469	8	8	54
5_1	39	1	09:54:09	6	4	2269	14	14	55
5_1	39	1	09:54:09	3	2	689	14	16	56
5_1	39	1	09:54:09	0	1	350	12	2	57
5_1	39	1	09:54:09	0	1	312	3	12	58
5_1	39	1	09:54:09	2	6	1383	5	18	59
5_1	39	1	09:54:09	0	5	1567	15	5	60
5_1	39	1	09:54:09	1	4	809	6	12	61
5_1	39	1	09:54:09	6	4	486	12	12	62
5_1	39	1	09:54:09	0	2	501	17	13	63
5_1	39	1	09:54:09	4	3	416	4	12	64
5_1	39	1	09:54:09	4	3	227	11	7	65
5_1	39	1	09:54:09	0	1	311	13	7	66
5_1	39	1	09:54:09	0	2	317	9	8	67
5_1	39	1	09:54:09	4	2	1565	14	5	68
5_1	39	1	09:54:09	6	2	737	11	11	69
5_1	39	1	09:54:09	1	2	229	8	6	70
5_1	39	1	09:54:09	3	2	1238	7	5	71
5_1	39	1	09:54:09	1	3	263	2	14	72
5_1	5	1	12:35:08	1	0	10830	8	6	1
5_1	5	1	12:35:08	2	0	3326	15	17	2
5_1	5	1	12:35:08	0	0	769	13	7	3
5_1	5	1	12:35:08	2	0	2434	11	8	4
5_1	5	1	12:35:08	2	1	3186	13	2	5
5_1	5	1	12:35:08	6	2	2680	1	1	6
5_1	5	1	12:35:08	4	0	986	15	4	7
5_1	5	1	12:35:08	1	0	2769	5	17	8
5_1	5	1	12:35:08	6	0	396	2	2	9
5_1	5	1	12:35:08	6	4	2053	8	8	10
